area_name,approval_year,approved_building_count,approved_floor_area_sqm,cumulative_building_count,cumulative_floor_area_sqm
pangyo_1st_technovalley,1995,1,39.6,1,39.6
pangyo_1st_technovalley,2001,5,29654.63,6,29694.23
pangyo_1st_technovalley,2007,1,198.0,7,29892.23
pangyo_1st_technovalley,2009,78,341603.09,85,371495.32
pangyo_1st_technovalley,2010,16,156670.38,101,528165.7
pangyo_1st_technovalley,2011,37,846771.12,138,1374936.8199999998
pangyo_1st_technovalley,2012,13,543963.9199999999,151,1918900.7399999998
pangyo_1st_technovalley,2013,18,549465.8200000001,169,2468366.5599999996
pangyo_1st_technovalley,2014,13,373083.82,182,2841450.3799999994
pangyo_1st_technovalley,2015,7,136530.96,189,2977981.3399999994
pangyo_1st_technovalley,2016,4,80624.06999999999,193,3058605.409999999
pangyo_1st_technovalley,2019,2,3639.94,195,3062245.349999999
pangyo_1st_technovalley,2020,12,69732.26,207,3131977.609999999
pangyo_1st_technovalley,2021,66,367353.0233,273,3499330.633299999
pangyo_1st_technovalley,2022,13,22961.050000000003,286,3522291.6832999988
pangyo_1st_technovalley,2023,25,21006.5,311,3543298.1832999988
wirye_plan_area,1968,1,34.38,1,34.38
wirye_plan_area,1969,1,65.39,2,99.77000000000001
wirye_plan_area,1970,4,240.39000000000001,6,340.16
wirye_plan_area,1971,2,71.42,8,411.58000000000004
wirye_plan_area,1972,7,711.9100000000001,15,1123.4900000000002
wirye_plan_area,1973,6,2121.12,21,3244.61
wirye_plan_area,1974,3,500.83000000000004,24,3745.44
wirye_plan_area,1975,5,11594.76,29,15340.2
wirye_plan_area,1977,3,283.39,32,15623.59
wirye_plan_area,1978,40,453230.41,72,468854.0
wirye_plan_area,1979,4,596.64,76,469450.64
wirye_plan_area,1980,17,2783.0,93,472233.64
wirye_plan_area,1981,4,982.34,97,473215.98000000004
wirye_plan_area,1982,9,3435.38,106,476651.36000000004
wirye_plan_area,1983,25,10719.17,131,487370.53
wirye_plan_area,1984,34,98315.49799999999,165,585686.028
wirye_plan_area,1985,34,154364.245,199,740050.273
wirye_plan_area,1986,19,11403.78,218,751454.0530000001
wirye_plan_area,1987,34,11955.05,252,763409.1030000001
wirye_plan_area,1988,64,35495.31,316,798904.4130000002
wirye_plan_area,1989,93,632992.04,409,1431896.4530000002
wirye_plan_area,1990,81,31435.345,490,1463331.7980000002
wirye_plan_area,1991,84,47899.98,574,1511231.7780000002
wirye_plan_area,1992,40,32956.58,614,1544188.3580000002
wirye_plan_area,1993,57,31669.1,671,1575857.4580000003
wirye_plan_area,1994,33,24296.74,704,1600154.1980000003
wirye_plan_area,1995,37,68450.01,741,1668604.2080000003
wirye_plan_area,1996,51,112532.384,792,1781136.5920000004
wirye_plan_area,1997,34,27434.2,826,1808570.7920000004
wirye_plan_area,1998,8,16293.380000000001,834,1824864.1720000003
wirye_plan_area,1999,22,188225.731,856,2013089.9030000002
wirye_plan_area,2000,27,14763.14,883,2027853.043
wirye_plan_area,2001,40,17914.47,923,2045767.513
wirye_plan_area,2002,65,63637.43,988,2109404.943
wirye_plan_area,2003,46,61456.64,1034,2170861.583
wirye_plan_area,2004,38,43652.54,1072,2214514.123
wirye_plan_area,2005,20,302850.25,1092,2517364.373
wirye_plan_area,2006,30,46249.11,1122,2563613.483
wirye_plan_area,2007,34,41911.28,1156,2605524.763
wirye_plan_area,2008,36,842061.6699999999,1192,3447586.4329999997
wirye_plan_area,2009,15,34726.86,1207,3482313.2929999996
wirye_plan_area,2010,22,25598.94,1229,3507912.2329999995
wirye_plan_area,2011,42,132862.01,1271,3640774.243
wirye_plan_area,2012,13,23986.41,1284,3664760.653
wirye_plan_area,2013,94,546114.4,1378,4210875.053
wirye_plan_area,2014,28,181415.39,1406,4392290.443
wirye_plan_area,2015,287,1103643.5169,1693,5495933.9599
wirye_plan_area,2016,516,3302335.3563,2209,8798269.3162
wirye_plan_area,2017,372,2647289.2679,2581,11445558.584099999
wirye_plan_area,2018,112,649984.8317999999,2693,12095543.4159
wirye_plan_area,2019,148,510632.4028,2841,12606175.818699999
wirye_plan_area,2020,125,439400.5128,2966,13045576.3315
wirye_plan_area,2021,272,1143194.7889,3238,14188771.1204
wirye_plan_area,2022,148,861665.4354000001,3386,15050436.5558
wirye_plan_area,2023,156,404300.2909,3542,15454736.8467
