source_file,row_id,sido,sigungu,bjdong,bun,ji,address,main_use,reason
건축물\건축물대장_go12385_20260617220540.xlsx,135,경기도,성남시 수정구,신흥동,0123,0027,경기도 성남시 수정구 신흥동 0123-0027,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,147,경기도,성남시 수정구,신흥동,0230,0010,경기도 성남시 수정구 신흥동 0230-0010,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,373,경기도,성남시 수정구,신흥동,2621,0001,경기도 성남시 수정구 신흥동 2621-0001,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,1249,경기도,성남시 수정구,신흥동,3509,0000,경기도 성남시 수정구 신흥동 3509-0000,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,3825,경기도,성남시 수정구,신흥동,6569,0001,경기도 성남시 수정구 신흥동 6569-0001,미분류,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,5816,경기도,성남시 수정구,태평동,1776,0025,경기도 성남시 수정구 태평동 1776-0025,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,6469,경기도,성남시 수정구,태평동,2627,0003,경기도 성남시 수정구 태평동 2627-0003,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,6869,경기도,성남시 수정구,태평동,3041,0003,경기도 성남시 수정구 태평동 3041-0003,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,7212,경기도,성남시 수정구,태평동,3307,0040,경기도 성남시 수정구 태평동 3307-0040,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,8502,경기도,성남시 수정구,태평동,4302,0002,경기도 성남시 수정구 태평동 4302-0002,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,8514,경기도,성남시 수정구,태평동,4308,0008,경기도 성남시 수정구 태평동 4308-0008,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,10425,경기도,성남시 수정구,태평동,6417,0003,경기도 성남시 수정구 태평동 6417-0003,미분류,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,10426,경기도,성남시 수정구,태평동,6417,0009,경기도 성남시 수정구 태평동 6417-0009,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,10446,경기도,성남시 수정구,태평동,6451,0001,경기도 성남시 수정구 태평동 6451-0001,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,10864,경기도,성남시 수정구,태평동,6917,0000,경기도 성남시 수정구 태평동 6917-0000,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
건축물\건축물대장_go12385_20260617220540.xlsx,11134,경기도,성남시 수정구,태평동,7208,0000,경기도 성남시 수정구 태평동 7208-0000,단독주택,대체 조인키(시군구코드+본번+부번)에 대응하는 연속지적도 필지를 찾지 못함
