area_name,join_key,parcel_count,pnus
wirye_plan_area,11710_0361_0000,2,1171010900103610000; 1171011300103610000
wirye_plan_area,11710_0361_0001,2,1171010900103610001; 1171011300103610001
wirye_plan_area,11710_0366_0000,2,1171010900103660000; 1171011300103660000
wirye_plan_area,11710_0366_0001,2,1171010900103660001; 1171011300103660001
wirye_plan_area,11710_0367_0000,2,1171010900103670000; 1171011300103670000
wirye_plan_area,11710_0367_0001,2,1171010900103670001; 1171011300103670001
wirye_plan_area,11710_0369_0000,2,1171010900103690000; 1171011300103690000
wirye_plan_area,11710_0395_0001,2,1171010900103950001; 1171011300103950001
wirye_plan_area,11710_0428_0000,2,1171010900104280000; 1171011300104280000
wirye_plan_area,11710_0428_0001,2,1171010900104280001; 1171011300104280001
wirye_plan_area,11710_0428_0003,2,1171010900104280003; 1171011300104280003
wirye_plan_area,11710_0429_0000,2,1171010900104290000; 1171011300104290000
wirye_plan_area,11710_0430_0000,2,1171010900104300000; 1171011300104300000
wirye_plan_area,11710_0571_0001,2,1171010900105710001; 1171011300105710001
wirye_plan_area,11710_0575_0001,2,1171010900105750001; 1171011300105750001
wirye_plan_area,11710_0586_0002,2,1171010900105860002; 1171011300105860002
wirye_plan_area,11710_0594_0002,2,1171010900105940002; 1171011300105940002
wirye_plan_area,11710_0625_0001,2,1171010900106250001; 1171011300106250001
wirye_plan_area,11710_0626_0000,2,1171010900106260000; 1171011300106260000
wirye_plan_area,11710_0626_0001,2,1171010900106260001; 1171011300106260001
wirye_plan_area,11710_0626_0005,2,1171010900106260005; 1171011300106260005
wirye_plan_area,11710_0626_0006,2,1171010900106260006; 1171011300106260006
wirye_plan_area,11710_0626_0007,2,1171010900106260007; 1171011300106260007
wirye_plan_area,11710_0627_0007,2,1171010900106270007; 1171011300106270007
wirye_plan_area,11710_0630_0000,2,1171010900106300000; 1171011300106300000
wirye_plan_area,11710_0630_0001,2,1171010900106300001; 1171011300106300001
wirye_plan_area,11710_0630_0002,2,1171010900106300002; 1171011300106300002
wirye_plan_area,41450_0015_0001,2,4145011600100150001; 4145011600200150001
wirye_plan_area,41450_0038_0001,2,4145011600100380001; 4145011600200380001
