area_name,station_name,time_min,reachable_station_count,reachable_population,reachable_workers
pangyo_1st_technovalley,판교역,0,0,0.0,0.0
pangyo_1st_technovalley,판교역,10,7,52313.313071881435,74153.83232464892
pangyo_1st_technovalley,판교역,20,26,360043.73512223247,320347.3434368111
pangyo_1st_technovalley,판교역,30,91,2342410.9948645923,1917642.268741685
pangyo_1st_technovalley,판교역,40,194,7302035.240669183,4613133.023222571
pangyo_1st_technovalley,판교역,50,420,13022716.26917307,6986771.640472828
pangyo_1st_technovalley,판교역,60,592,16774253.978602197,8542443.835071573
wirye_plan_area,남위례역,0,0,0.0,0.0
wirye_plan_area,남위례역,10,20,162093.50473908326,68104.47579513399
wirye_plan_area,남위례역,20,54,874789.8729586159,489417.53221058036
wirye_plan_area,남위례역,30,114,1942910.8910919034,1481691.0685230838
wirye_plan_area,남위례역,40,198,5369264.446802681,4017896.3456844813
wirye_plan_area,남위례역,50,348,11131292.006218277,6113944.610810987
wirye_plan_area,남위례역,60,542,15270097.552223373,7937442.267386642
