area_name,origin_station,time_min,reachable_station_count,reachable_population,reachable_workers
pangyo_1st_technovalley,판교역,10,7,52313.31307187962,74153.832324653
pangyo_1st_technovalley,판교역,20,26,360043.7351226072,320347.3434370026
pangyo_1st_technovalley,판교역,30,91,2342410.9948645923,1917642.268741685
pangyo_1st_technovalley,판교역,40,194,7302035.240669407,4613133.023222462
pangyo_1st_technovalley,판교역,50,420,13022716.269173263,6986771.640472916
pangyo_1st_technovalley,판교역,60,592,16774253.978602197,8542443.835071571
wirye_plan_area,남위례역,10,20,162093.50473918096,68104.4757952249
wirye_plan_area,남위례역,20,54,874789.8729587304,489417.5322106487
wirye_plan_area,남위례역,30,114,1942910.8910919034,1481691.0685230838
wirye_plan_area,남위례역,40,198,5369264.446802793,4017896.3456844226
wirye_plan_area,남위례역,50,348,11131292.006218366,6113944.610810991
wirye_plan_area,남위례역,60,542,15270097.552223373,7937442.267386641
